price,Area,bathroom,bedroom,location
PKR13.5 Crore,1 Kanal,7,5,"Wapda City, Faisalabad, Punjab"
PKR3.5 Crore,6 Marla,5,4,"Eden Valley, Faisalabad, Punjab"
PKR3.5 Crore,6.5 Marla,4,4,"Eden Valley, Faisalabad, Punjab"
PKR4.25 Crore,7 Marla,5,4,"Eden Valley, Faisalabad, Punjab"
PKR2.5 Crore,4.5 Marla,3,3,"Eden Gardens, Faisalabad, Punjab"
PKR18 Crore,1.2 Kanal,6,8,"Wapda City, Faisalabad, Punjab"
PKR2 Crore,5 Marla,4,3,"Lower Canal Road, Faisalabad, Punjab"
PKR4.25 Crore,7 Marla,-,-,"Canal Road, Faisalabad, Punjab"
PKR3.5 Crore,7 Marla,5,4,"Canal Road, Faisalabad, Punjab"
PKR4.25 Crore,7 Marla,6,5,"Eden Valley, Faisalabad, Punjab"
PKR9 Crore,18 Marla,7,7,"Saeed Colony, Faisalabad, Punjab"
PKR1.15 Crore,2.5 Marla,-,3,"Ghalib City, Faisalabad, Punjab"
PKR7 Crore,16 Marla,5,5,"Canal Road, Faisalabad, Punjab"
PKR2 Crore,5 Marla,7,4,"Saeed Colony, Faisalabad, Punjab"
PKR15 Crore,1.3 Kanal,7,8,"Canal Road, Faisalabad, Punjab"
PKR14 Crore,1 Kanal,6,5,"Wapda City, Faisalabad, Punjab"
PKR7.95 Crore,15 Marla,6,5,"Wapda City, Faisalabad, Punjab"
PKR1.55 Crore,5 Marla,-,-,"Citi Housing, Faisalabad, Punjab"
PKR1.75 Crore,5 Marla,4,3,"Eden Gardens, Faisalabad, Punjab"
PKR25 Crore,2 Kanal,6,5,"Canal Expressway, Faisalabad, Punjab"
PKR3.8 Crore,10 Marla,4,4,"Wapda City, Faisalabad, Punjab"
PKR30 Crore,2.3 Kanal,7,6,"Wapda City, Faisalabad, Punjab"
PKR18.5 Crore,1.2 Kanal,5,5,"Wapda City, Faisalabad, Punjab"
PKR2.6 Crore,5 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR7.5 Crore,10 Marla,6,5,"Eden Valley, Faisalabad, Punjab"
PKR2.4 Crore,5 Marla,4,3,"Canal Road, Faisalabad, Punjab"
PKR2.7 Crore,9 Marla,5,4,"Khayaban Colony 2, Faisalabad, Punjab"
PKR4 Crore,7 Marla,5,4,"Canal Road, Faisalabad, Punjab"
PKR8.5 Crore,12 Marla,6,5,"Canal Road, Faisalabad, Punjab"
PKR6.75 Crore,1.2 Kanal,6,6,"Shadman Colony, Faisalabad, Punjab"
PKR4.1 Crore,7 Marla,5,4,"Eden Valley, Faisalabad, Punjab"
PKR4.1 Crore,7 Marla,6,5,"Canal Road, Faisalabad, Punjab"
PKR3.25 Crore,6 Marla,4,3,"Canal Road, Faisalabad, Punjab"
PKR5 Crore,14 Marla,6,6,"Saeed Colony, Faisalabad, Punjab"
PKR7.5 Crore,10 Marla,6,5,"Canal Road, Faisalabad, Punjab"
PKR2.25 Crore,5 Marla,-,-,"Madina Town, Faisalabad, Punjab"
PKR4.5 Crore,10 Marla,6,5,"Wapda City, Faisalabad, Punjab"
PKR4.8 Crore,10 Marla,5,4,"Wapda City, Faisalabad, Punjab"
PKR4.75 Crore,10 Marla,5,4,"Wapda City, Faisalabad, Punjab"
PKR2.6 Crore,5 Marla,4,3,"Wapda City, Faisalabad, Punjab"
PKR4.95 Crore,10 Marla,4,4,"Wapda City, Faisalabad, Punjab"
PKR4.4 Crore,10 Marla,4,4,"Wapda City, Faisalabad, Punjab"
PKR2 Crore,3.7 Marla,3,3,"Canal Garden, Faisalabad, Punjab"
PKR2.45 Crore,5.5 Marla,3,3,"Canal Expressway, Faisalabad, Punjab"
PKR4.5 Crore,11.5 Marla,5,5,"Gulshan e Madina, Faisalabad, Punjab"
PKR1.9 Crore,3 Marla,3,3,"Eden Valley, Faisalabad, Punjab"
PKR1.85 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR2.85 Crore,10 Marla,5,4,"Citi Housing, Faisalabad, Punjab"
PKR7 Crore,1 Kanal,4,4,"Peoples Colony No 1, Faisalabad, Punjab"
PKR45 Crore,4 Kanal,7,6,"Canal Road, Faisalabad, Punjab"
PKR3.3 Crore,7 Marla,4,4,"Eden Gardens, Faisalabad, Punjab"
PKR14 Crore,1 Kanal,6,5,"Abdullah Garden, Faisalabad, Punjab"
PKR11 Crore,15 Marla,6,5,"Abdullah Garden, Faisalabad, Punjab"
PKR5.15 Crore,10 Marla,5,4,"Canal Road, Faisalabad, Punjab"
PKR5.15 Crore,10 Marla,5,4,"Canal Road, Faisalabad, Punjab"
PKR5.25 Crore,15 Marla,-,-,"Wapda City, Faisalabad, Punjab"
PKR14.5 Crore,1 Kanal,-,-,"Canal Road, Faisalabad, Punjab"
PKR1.7 Crore,5 Marla,3,3,"Lower Canal Road, Faisalabad, Punjab"
PKR2.3 Crore,5 Marla,4,3,"Eden Gardens, Faisalabad, Punjab"
PKR4.5 Crore,7 Marla,5,4,"Canal Road, Faisalabad, Punjab"
PKR3.5 Crore,10 Marla,5,4,"Wapda City, Faisalabad, Punjab"
PKR1.75 Crore,6 Marla,4,3,"Gulistan Colony No 1, Faisalabad, Punjab"
PKR12.5 Crore,1 Kanal,4,4,"Peoples Colony No 1, Faisalabad, Punjab"
PKR4.9 Crore,10 Marla,6,6,"Wapda City, Faisalabad, Punjab"
PKR2.59 Crore,5 Marla,5,5,"Satiana Road, Faisalabad, Punjab"
PKR2.65 Crore,5 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR2.9 Crore,5 Marla,4,4,"Eden Valley, Faisalabad, Punjab"
PKR4.15 Crore,1 Kanal,5,5,"Peoples Colony No 1, Faisalabad, Punjab"
PKR1.55 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR1.85 Crore,5 Marla,4,3,"Citi Housing, Faisalabad, Punjab"
PKR1.75 Crore,10 Marla,6,5,"Citi Housing, Faisalabad, Punjab"
PKR2.6 Crore,5 Marla,-,-,"Eden Valley, Faisalabad, Punjab"
PKR2.75 Crore,5 Marla,-,-,"Eden Valley, Faisalabad, Punjab"
PKR26 Crore,10 Kanal,6,6,"Canal Road, Faisalabad, Punjab"
PKR2.4 Crore,8 Marla,6,5,"Eden Gardens, Faisalabad, Punjab"
PKR5.5 Crore,9 Marla,-,-,"Canal Road, Faisalabad, Punjab"
PKR3.6 Crore,6 Marla,6,5,"Eden Valley, Faisalabad, Punjab"
PKR4.1 Crore,7 Marla,5,4,"Canal Road, Faisalabad, Punjab"
PKR2.7 Crore,5 Marla,4,3,"Eden Valley, Faisalabad, Punjab"
PKR5.6 Crore,1.1 Kanal,6,6,"Khayaban Colony 2, Faisalabad, Punjab"
PKR1.6 Crore,5 Marla,4,4,"Gulberg Valley, Faisalabad, Punjab"
PKR3 Crore,7 Marla,6,5,"Eden Valley, Faisalabad, Punjab"
PKR2.7 Crore,5 Marla,5,4,"Eden Valley, Faisalabad, Punjab"
PKR1.6 Crore,4 Marla,3,3,"Lower Canal Road, Faisalabad, Punjab"
PKR3.75 Crore,11 Marla,6,5,"Khayaban Colony 2, Faisalabad, Punjab"
PKR2.7 Crore,5 Marla,4,3,"Eden Orchard, Faisalabad, Punjab"
PKR3.3 Crore,10 Marla,6,5,"Citi Housing, Faisalabad, Punjab"
PKR2.75 Crore,5 Marla,4,3,"Eden Orchard, Faisalabad, Punjab"
PKR2.3 Crore,6 Marla,5,5,"Khayaban Gardens, Faisalabad, Punjab"
PKR3.5 Crore,7 Marla,5,4,"Eden Orchard, Faisalabad, Punjab"
PKR2.25 Crore,4 Marla,-,-,"Eden Valley, Faisalabad, Punjab"
PKR4.5 Crore,6 Marla,7,4,"Canal Road, Faisalabad, Punjab"
PKR1.9 Crore,4 Marla,4,3,"Canal Road, Faisalabad, Punjab"
PKR4.75 Crore,10 Marla,6,5,"Wapda City, Faisalabad, Punjab"
PKR2.25 Crore,5 Marla,4,4,"Mian Zulfiqar Ali Shahid Road, Faisalabad, Punjab"
PKR4.4 Crore,1 Kanal,6,7,"Satiana Road, Faisalabad, Punjab"
PKR2.8 Crore,10 Marla,5,5,"Citi Housing, Faisalabad, Punjab"
PKR3.45 Crore,7 Marla,5,4,"Satiana Road, Faisalabad, Punjab"
PKR13 Crore,1.3 Kanal,6,6,"Canal Road, Faisalabad, Punjab"
PKR11 Crore,15 Marla,6,5,"Abdullah Garden, Faisalabad, Punjab"
PKR2.9 Crore,7 Marla,6,5,"Eden Gardens, Faisalabad, Punjab"
PKR2.5 Crore,5 Marla,4,3,"Eden Gardens, Faisalabad, Punjab"
PKR3.2 Crore,7 Marla,5,4,"Eden Gardens, Faisalabad, Punjab"
PKR4.3 Crore,11 Marla,6,5,"Khayaban Gardens, Faisalabad, Punjab"
PKR5.3 Crore,11 Marla,6,5,"Eden Orchard, Faisalabad, Punjab"
PKR3.75 Crore,10 Marla,5,5,"Satiana Road, Faisalabad, Punjab"
PKR2.75 Crore,5 Marla,4,3,"Eden Orchard, Faisalabad, Punjab"
PKR1.6 Crore,5 Marla,3,4,"Sargodha Road, Faisalabad, Punjab"
PKR1.2 Crore,3 Marla,4,3,"Kareem City, Faisalabad, Punjab"
PKR1.25 Crore,4 Marla,4,4,"Gulistan Colony No 1, Faisalabad, Punjab"
